variety,harvest_code,location,treatment,state,quality_overall,watercore,tree_vigor,fruit_drop,red_pct,color_pattern,comments,coarse_texture,harvest_load,fruit_load,eating_quality,scab_susc,brix,flavor,flesh_color,firm_or_soft,firmness_value,ground_color,over_color,image_url,size,shape,weight_grams,harvest_window,russeting,season,biennial,storage_quality,evaluation_date,drop_status,rootstock,preharvest_drop_pct,drop_location,texture,CAR_susc,fireblight_susc,skin_feel,skin_thick,starch_index,DA_meter,tree_habit,tree_vigor2,brix_numeric,firmness_numeric,red_pct_numeric,starch_numeric,routing,is_premium,size_numeric,season_numeric
Ginger Gold,,Harvard,,MA,excellent,,medium-strong,,0,solid,"very juicy, just about right, this is a nice apple; does not starch test well",absent,,medium-heavy,excellent,,20.7,tart-sweet,green-white,crisp,3.1,yellow,absent,http://www.appletesters.net/picts/2009/gingergold082509harvardma.jpg,medium-large,somewhat typey,,,inconspicuous,early,,excellent,8/25/2009,none,,5,stem,medium,,,dry,average,10.7,2,spreading,medium-strong,20.7,3.1,0.0,10.7,fresh_premium,False,3,1
Ginger Gold,,Belchertown,,MA,excellent,,,,5,blush,"one fruit was ‘bad’; hint of watercore, these are on the downhill slide but very good right now; should be picking ASAP",absent,,medium,very good,,18,sweet-tart,white,crisp,3.3,green-yellow,orange,http://www.appletesters.net/picts/2009/gingergold082509ma.jpg,large,somewhat typey,,,inconspicuous,early,,good-excellent,8/25/2009,nil,,5,stem,medium,,,dry,average,12,3 (2-6),,,18.0,3.3,5.0,12.0,fresh_premium,False,5,1
Silken,,Belchertown,,MA,excellent,tendency,medium-strong,,0,solid,"significant fruit drop or push-off; ready for a first pick, definitely by next week",absent,,heavy,very good,,16.8,tart-sweet,white,medium melting,2.9,white-yellow,yellow,http://www.appletesters.net/picts/2009/silken082509ma.jpg,medium,symmetrical-somewhat oblong,,,inconspicuous,early-middle,,good-excellent,8/25/2009,nil,,5,stem,medium,,,dry,average,11.1,3.9 (2-5),spreading,medium,16.8,2.9,0.0,11.1,fresh_premium,False,3,2
Lindamac,,Belchertown,,MA,very good,no,medium,,80,blush-stripe,"red color is there, although it is too early be picking Macs; but if I had to pick one now, this would be it; have been very productive trees on M.9, I like them",absent,,medium-heavy,good,,16.4,tart,green-white,soft,3.1,green,red,http://www.appletesters.net/picts/2009/lindamac082509ma.jpg,medium,symmetrical-flattened,,,inconspicuous,early-middle,,good,8/25/2009,nil,,0,,,,,dry,average,11.7,3.9 (3-4.5),spreading-upright,medium,16.4,3.1,80.0,11.7,fresh_premium,False,3,2
Minneiska,,Belchertown,,MA,very good,no,medium,,60,blush,a killer apple,absent,,medium-heavy,excellent,,16.1,sweet,cream-yellow,crisp,3.2,green-yellow,orange-red,http://www.appletesters.net/picts/2009/minneiska082609ma.jpg,medium-large,asymmetrical,,,conspicuous,early-middle,,excellent,8/26/2009,nil,,0,,,,,dry,,12.7,4 (3-5),spreading-upright,medium,16.1,3.2,60.0,12.7,fresh_premium,False,3,2
Sansa,,Belchertown,,MA,,,,,50,,"perfect, last chance to pick",,,,,,12.3,,,,2.8,,,http://www.appletesters.net/picts/2009/sansa082709ma.jpg,,,,,,,,,8/27/2009,nil,,,,,,,,,12.6,6 (4-8),,,12.3,2.8,50.0,12.6,unknown,False,3,3
GingerGold,,Belchertown,,MA,,,,,,,20% watercore; ready to go,,,,,,18,,,,3.3,,,http://www.appletesters.net/picts/2009/gingergold082709ma.jpg,,,,,,,,,8/27/2009,none,,,,,,,,,12.4,3,,,18.0,3.3,,12.4,unknown,False,3,3
Akane,,Belchertown,,MA,,,,,70,,"better than last time, nice size for Akane, some watercore, definitely ready to harvest",,,,,,15.5,,,,3.1,,,http://www.appletesters.net/picts/2009/akane082709ma.jpg,,,,,,,,,8/27/2009,few,,,,,,,,,12,7.1,,,15.5,3.1,70.0,12.0,unknown,False,3,3
Zestar!,,Belchertown,,MA,,,,,55,,"on it's way out, should be picked by now, but still acceptable",,,,,,13,,,,3.3,,,http://www.appletesters.net/picts/2009/zestar082709ma.jpg,medium-large,,,,,,,,8/27/2009,few,,,,,,,,,13,6.5 (6-7),,,13.0,3.3,55.0,13.0,unknown,False,3,3
Lindamac,,Belchertown,,MA,,,,,90,,,,,,,,16.3,,,,3.1,,,,,,,,,,,,8/31/2009,nil,,,,,,,,,12.5,4.3 (3-6),,,16.3,3.1,90.0,12.5,unknown,False,3,3
Silken,,Belchertown,,MA,,tendency,,,,,,,,,,,17.7,,,,3.1,,,http://www.appletesters.net/picts/2009/silken083109ma.jpg,,,,,,,,,8/31/2009,nil,,,,,,,,,12.5,3.5 (2.5-4),,,17.7,3.1,,12.5,unknown,False,3,3
Lindamac,,Westfield,,MA,,,,,80,,"not ready; not very many seeds, 2nd leaf trees",,,,,,15.1,,,,3.2,,,,,,,,,,,,9/2/2009,nil,,,,,,,,,11.3,3.5,,,15.1,3.2,80.0,11.3,unknown,False,3,3
Gale Gala,,Westfield,,MA,,,,,95,,"good color, but need another week; hard to pick on background color because there is none or very little",,,,,,22,,,,2.9,,,,,,,,,,,,9/2/2009,none,,,,,,,,,13.6,4.5 (2-7),,,22.0,2.9,95.0,13.6,unknown,False,3,3
Lindamac,,Northboro,,MA,fair,,medium,,75,blush-stripe,"not ready yet, quality will improve, too green; need another week",absent,,medium,fair,,14.2,tart,green-white,soft,3.3,green,red,,medium-large,asymmetrical,,,inconspicuous,early-middle,,fair,9/3/2009,none,,0,,,,,dry,average,11,3.6 (3-4),spreading-upright,medium-strong,14.2,3.3,75.0,11.0,juice,False,3,2
Gale Gala,,Northboro,,MA,good,,strong,,95,solid,"needs another week at least, has not developed sugars or flavor; generally attractive and clean, very large crop for 2nd leaf trees",absent,,heavy,fair,,20.7,bland,cream-yellow,medium melting,2.9,green-yellow,orange-red,,small-medium,somewhat typey,,,conspicuous,middle,,good,9/3/2009,none,,< 5,variable,medium,,,dry,average,11,2,spreading-upright,medium-strong,20.7,2.9,95.0,11.0,fresh_standard,False,1,3
Honeycrisp,,Northboro,,MA,fair,,medium-strong,,45,blush-stripe,heavy crop load diminishes quality; has not developed enough sugar yet; starch index may not be indicative of actual maturity; evidence of sunburn on exposed cheek,absent,,medium-heavy,good,,16.3,sweet,cream-white,crisp melting,3.0,green,orange-red,,medium,symmetrical,,,inconspicuous,middle,,good,9/3/2009,nil,,0,,,,,dry,average,11.7,7,spreading,weak,16.3,3.0,45.0,11.7,fresh_standard,True,3,3
Buckeye Gala,,Northboro,,MA,good,,strong,,90,solid,"not ready yet, needs at least another week",,,heavy,fair,,19.9,bland,cream-yellow,medium melting,2.9,green-yellow,red,,small-medium,somewhat asymmetrical,,,conspicuous,middle,,fair,9/3/2009,none,,< 5,variable,medium,,,dry,average,10,2.1,spreading-upright,medium,19.9,2.9,90.0,10.0,fresh_standard,False,1,3
Lindamac,,Shelburne,,MA,,,,,80,stripe-blush,large fruit on 2nd leaf trees; should be given another week,,,light,fair-good,,17.9,tart,,,3.4,green,red,,large,irregular,,,inconspicuous,,,,9/3/2009,none,,,,,,,,,13,3.5 (2-5),,,17.9,3.4,80.0,13.0,unknown,False,5,3
Gale Gala,,Shelburne,,MA,,,medium-strong,,95,mostly solid with some stripe,"2nd leaf trees, heavy crop but looks good; need another week",,,medium-heavy,,,22.1,,,,2.95,green-yellow,orange-red,,medium,,,,conspicuous,,,,9/2/2009,none,,0,,,,,,,11.9,3 (2-5),upright,medium-strong,22.1,2.95,95.0,11.9,unknown,False,3,3
Honeycrisp,,Shelburne,,MA,,,,,40,,,,,light,,,17.6,,,,3.1,,,,medium-large,,,,,,,,9/3/2009,,,,,,,,,,11.9,4 (1.5-6.5),,,17.6,3.1,40.0,11.9,unknown,True,3,3
Honeycrisp,,Shelburne,,MA,,,,,50,,need another week at least,,,light-medium,,,16.9,,,,3.3,,,,,,,,,,,,9/4/2009,nil,,,,,,,,,11.5,3 (1-7),,,16.9,3.3,50.0,11.5,unknown,True,3,3
Buckeye Gala,,Shelburne,,MA,,,,,95,blush-stripe,need another week at least,,,medium-heavy,,,21.8,,,,2.95,green-yellow,orange-red,,small-medium,somewhat typey,,,conspicuous,,,,9/4/2009,none,,0,,,,,,,10,1.9,,,21.8,2.95,95.0,10.0,unknown,False,1,3
Honeycrisp,,Deerfield,,MA,,,,,60,,,,,light-medium,,,18.2,,,,3.1,,,,medium-large,,,,,,,,9/4/2009,few,,,,,,,,,12.9,4.5 (3-7),,,18.2,3.1,60.0,12.9,unknown,True,3,3
Marshall McIntosh,,Deerfield,,MA,,,medium,,75,blush,,absent,,light-medium,,,15.8,,,,3.1,green,red,,small-medium,irregular,,,inconspicuous,early-middle,,,9/4/2009,some,,< 5,,,,,,,12.2,4.1,spreading-upright,medium-strong,15.8,3.1,75.0,12.2,unknown,False,1,2
Silken,,Belchertown,,MA,,tendency,medium-strong,,< 5,,,absent,,medium-heavy,,,15.5,,,,3.2,green-yellow,yellow,http://lh6.ggpht.com/_uJyq46UNVSk/Sqrs_5KA3TI/AAAAAAAAAVs/MFHwaVVDPZE/s512/silken090409ma.jpg,medium-large,symmetrical-oblong,,,conspicuous,early-middle,,,9/4/2009,nil,,5,stem,fine,,,,,12.7,4.6 (3-7),spreading-upright,medium,15.5,3.2,,12.7,unknown,False,3,2
Lindamac McIntosh,,Belchertown,,MA,excellent,,medium,,95,blush,,absent,,medium-heavy,good,,14.1,tart,green-white,soft,3.2,green,red,,medium,"irregular, flattish",,,mostly inconspicuous,early-middle,,good-excellent for a Mac,9/4/2009,nil,,0,,,,,dry,average,11.7,4.6 (4-5),spreading-upright,medium-strong,14.1,3.2,95.0,11.7,fresh_premium,False,3,2
Buckeye Gala,,Brookfield,,MA,,,,,95,,need another week,,,medium-heavy,,,21.8,,,,2.9,,,http://www.appletesters.net/picts/2009/buckeyegala090709mabrkfld.jpg,small-medium,,191.0,,somewhat conspicuous,,,,9/7/2009,none,,< 5,stem,,,,,,19.7,3 (1-4),,,21.8,2.9,95.0,19.7,unknown,False,1,3
Gale Gala,,Brookfield,,MA,,,,,95,,,,,medium,,,20.8,,,,2.9,,,,small-medium,,189.0,,conspicuous,,,,9/7/2009,none,,< 5,stem,fine,,,,,10.3,3 (1-4),,,20.8,2.9,95.0,10.3,unknown,False,1,3
Redmax McIntosh,,Brookfield,,MA,,,medium,,70,blush-stripe,"a tart McIntosh right now, need another week really",,,medium,,,17,,,,3.2,green,red,http://www.appletesters.net/picts/2009/redmaxmac090709mabrkfld.jpg,medium-large,"irregular, but not too bad for McIntosh",215.0,,inconspicuous,middle,,,9/7/2009,few,,0,,,,,,,11.4,4 (3-5),spreading-upright,medium-strong,17.0,3.2,70.0,11.4,unknown,False,3,3
Honeycrisp,,Brookfield,,MA,,,,,40,,"could use another week, sugars not there, but they are acceptable right now",,,medium-heavy,good for a tart Honeycrisp,,16.1,tart-sweet,,,3.2,,,http://www.appletesters.net/picts/2009/honeycrisp090709mabrkfld.jpg,medium-large,,237.0,,somewhat conspicuous,,,,9/7/2009,few,,,,,,,,,11,4.4 (2-7),,,16.1,3.2,40.0,11.0,unknown,True,3,3
Lindamac McIntosh,,Belchertown,,MA,excellent,,,,90+,,picked 20 bushels off 30 M.9 trees,,,medium,,,15,,,,3.2,,,,medium-large,,203.0,,,,,,9/7/2009,nil,,,,,,,,somewhat thick,11.8,4.4,,,15.0,3.2,,11.8,fresh_premium,False,3,3
Honeycrisp,,Belchertown,,MA,,,,,70,,"B.118 rootstock, good color, but need a bit to pick",,,light,,moderately susceptible,17.9,,,,3.3,,,http://www.appletesters.net/picts/2009/honeycrisp090709ma.jpg,large,,,,,,,,9/7/2009,few,,,,,less suspeptible,less susceptible,,,12.1,3.2 (2-4),,,17.9,3.3,70.0,12.1,unknown,True,5,3
Rubymac,,Belchertown,,MA,very good,,medium,,99,solid,"2nd leaf trees, first look; definitely red color",absent,,variable,,,16.3,tart,green-white,soft,2.9,green,dark red,,small-medium,symmetrical,,,inconspicuous,,,,9/7/2009,some,,0,,,,,dry,average,11.3,5.6 (4(-8),upright-spreading,medium,16.3,2.9,99.0,11.3,fresh_premium,False,1,3
Redmax McIntosh,,Holliston,,MA,,,,,85,blush-stripe,"with ReTain, look good for first pick, little drop as of yet",,,medium,,,15.5,,,,3.2,,,http://www.appletesters.net/picts/2009/redmaxmcintosh090809maholliston.jpg,medium,,,,inconspicuous,,,good-excellent,9/8/2009,few,,,,,,,,,10.6,4.5 (4-6),,,15.5,3.2,85.0,10.6,unknown,False,3,3
Honeycrisp,,Holliston,,MA,,,,,55,,"good for first pick based on color, would like to see sugar higher",,,medium,,,15.4,,,,3.4,,,http://www.appletesters.net/picts/2009/honeycrisp090809maholliston.jpg,large,,,,,,,,9/8/2009,few,,,,,,,,,11.8,4.3 (2-7),,,15.4,3.4,55.0,11.8,unknown,True,5,3
Golden Supreme,,Belchertown,,MA,excellent,,strong,,10,pink-orange-red blush,"ripens unevenly with drop; a nice looking apple with a sweet-fruity flavor, however, difficult to pick at optimum ripeness; biennial tendency; vigorous tree",absent,,variable,very good,,16,fruity,cream-yellow,medium melting,3.1,yellow,green-yellow,http://www.appletesters.net/picts/2009/goldensupreme090909ma.jpg,medium-large,somewhat typey,,,somewhat conspicuous,middle,,good,9/9/2009,nil,,0,,,,,slightly greasy,average,11.8,4.7 (2-7),upright,strong,16.0,3.1,10.0,11.8,fresh_premium,False,3,3
Buckeye Gala,,Belchertown,,MA,very good,,medium-strong,,100,solid-stripe,"just about ready for 1st pick, but might want to give a few days",absent,,medium-heavy,good,,18.1,sweet-tart,cream-white,medium melting,2.9,green-yellow,dark red,http://www.appletesters.net/picts/2009/galabuckeye090909ma.jpg,small-medium,symmetrical,,,somewhat conspicuous,middle,,good-excellent,9/9/2009,nil,M9,0,,,,,slightly greasy,average,10.6,3.8 (2-6.5),spreading,medium,18.1,2.9,100.0,10.6,fresh_premium,False,1,3
Silken,,Belchertown,,MA,very good,,,,5,slight orange-red blush on some fruit,"a touch of watercore; just about perfect to harvest right now, but going fast",absent,,medium-heavy,very good,,15,sweet,cream-yellow,crisp melting,3.2,white-yellow,green-yellow,http://www.appletesters.net/picts/2009/silken090909ma.jpg,medium-large,symmetrical,,,inconspicuous,,,good-excellent,9/9/2009,some,,5,stem,,,,dry,thin,12.5,5.5 (4-8),,,15.0,3.2,5.0,12.5,fresh_premium,False,3,3
Honeycrisp,,Belchertown,,MA,very good,,,,65,blush-stripe,"some bitter pit; very good to go, starting to drop",,,medium,excellent,,14.1,,,,3.5,,,http://www.appletesters.net/picts/2009/honeycrisp090909ma.jpg,large,,,,inconspicuous,,,good-excellent,9/9/2009,some,,,,,,,,,11.4,5.5 (4-7.5),,,14.1,3.5,65.0,11.4,fresh_premium,True,5,3
unknown from A7,,Belchertown,,MA,very good,,medium,,75,stripe-blush,"not sure of the variety, received from Stark Bros. in 2006 with Honeycrisp; definitely ripe, but a little uneven",absent,,medium,very good,,15.9,fruity,cream-yellow,medium melting,3.3,yellow,orange-red,http://fruit.umext.umass.edu/images/2009apples/a7mysteryapple.jpg,medium-large,symmetrical,,,inconspicuous,early-middle,,good,9/10/2009,nil,,0,,,,,slightly greasy,somewhat thick,12,4.6 (3-7),drooping,medium,15.9,3.3,75.0,12.0,fresh_premium,False,3,2
Snappy Mac McIntosh,,Belchertown,,MA,very good,,medium,,95,solid-blush,scab,absent,,medium,fair-good,,14.6,tart,green-white,soft,3.3,green,dark red,http://fruit.umext.umass.edu/images/2009apples/mcintoshsnappymac091409ma.jpg,small-medium,symmetrical,235.0,,inconspicuous,middle,,good,9/14/2024,few,M26,0,,,,,dry,average,13,5.8 (4.5-7),spreading-upright,medium-strong,14.6,3.3,95.0,13.0,fresh_premium,False,1,3
Rogers Red McIntosh,,Belchertown,,MA,fair-good,,medium,,80,blush,common mid-season Mac,absent,,medium-heavy,good,,13.3,tart,green-white,soft,3.3,green,red,http://fruit.umext.umass.edu/images/2009apples/mcintoshrogersred091409ma.jpg,medium-large,asymmetrical,233.0,,somewhat conspicuous,middle,,fair-good,9/14/2009,some,B9,0,,,,,dry,average,11.9,5.2 (4-6.5),upright-spreading,medium,13.3,3.3,80.0,11.9,juice,False,3,3
Blondee,,Belchertown,,MA,very good,,medium,,10% red blush,solid yellow,"an attractive, uniform apple, need another week",absent,,medium-heavy,fair-good,,20.1,sweet-tart,cream-yellow,medium melting,2.9,green-yellow,yellow,http://fruit.umext.umass.edu/images/2009apples/blondee091409ma.jpg,small-medium,somewhat typey,196.0,,somewhat conspicuous,middle,,good,9/14/2009,nil,M9-337,0,,,,,dry,somewhat thin,11.2,3.9 (3-5),spreading,medium,20.1,2.9,,11.2,fresh_premium,False,1,3
Rezista Gala-like (Releika cv.),,Belchertown,,MA,good,,medium,,90,blush-stripe,"very sub-par in eating quality, but productive and non-vigorous tree; good for organic production and cider; fruit would be better if properly thinned",absent,,"very heavy, not thinned",poor,,17.9,yuk,cream-yellow,soft,2.5,white-yellow,orange-red,http://fruit.umext.umass.edu/images/2009apples/rezistagala091409ma.jpg,small,symmetrical,117.0,,somewhat conspicuous,early-middle,,fair,9/14/2009,a lot,,<5,stem,fine,,,slightly greasy,average,11.1,7.9,spreading,medium-weak,17.9,2.5,90.0,11.1,juice,False,1,2
Brookfield Gala,,Belchertown,,MA,excellent,,strong,,90,solid-stripe,"could wait a few more days for first pick, but close (sugars still low)",absent,,medium-heavy,very good,,19.4,sweet-tart,cream-yellow,medium melting,2.9,green-yellow,red,http://fruit.umext.umass.edu/images/2009apples/galabrookfield091409ma.jpg,medium,somewhat typey,198.0,,somewhat conspicuous,middle,,good-excellent,9/14/2009,none,B9,0,,,,,slightly greasy,average,11.3,4.9 (3-6.5),spreading,medium,19.4,2.9,90.0,11.3,fresh_premium,False,3,3
Honeycrisp,,Belchertown,,MA,very good,,medium,,55,stripe-blush,perfect,absent,,medium-heavy,excellent,,13.5,sweet,cream-yellow,crisp melting,3.3,green-yellow,orange-red,http://fruit.umext.umass.edu/images/2009apples/honeycrisp091409ma.jpg,large,symmetrical,273.0,,conspicuous,middle,,excellent,9/14/2009,some,B9,0,,,,,dry,somewhat thin,11.7,6.5 (6-8),spreading,weak-medium,13.5,3.3,55.0,11.7,fresh_premium,True,5,3
Redmax McIntosh,,Belchertown,,MA,very good,,medium,,80,stripe-blush,"nice Mac strain, distinctly striped",absent,,medium-heavy,good,,14.6,tart-sweet,green-white,medium melting,3.2,green,red,http://fruit.umext.umass.edu/images/2009apples/mcintoshredmax091409ma.jpg,medium-large,asymmetrical,213.0,,inconspicuous,middle,,good-excellent,9/14/2009,some,B9,0,,,,,dry,average,12.8,6,spreading,weak-medium,14.6,3.2,80.0,12.8,fresh_premium,False,3,3
Daybreak Fuji,,Northboro,unknown,MA,good,,medium-strong,,85,solid,"low sugars, rather bland, but appears to be ripe; may be overcropped and that has affected quality; being picked now, but not quite like a high quality late Fuji; otherwise, generally recommended",absent,,medium-heavy,good,,15.3,sweet-tart,green-white,soft,3.0,green,red,http://fruit.umext.umass.edu/images/2009apples/091509daybreakfujinboroma.jpg,small-medium,symmetrical-round,210.0,September 1-15,conspicuous,middle,,fair-good,9/15/2009,none,B9,0,,,,,dry,average,10.6,5.2 (4-7),spreading,medium,15.3,3.0,85.0,10.6,juice,False,1,3
Crimson Crisp,,Northboro,unknown,MA,good,,strong,,85,blush,"a hard, tart apple with somewhat thick skin characteristic of PRI apples; has already been PYO’d; scab-resistant, easy to grow tree",absent,,medium,good,,20.1,tart-sweet,green-white,hard,2.9,green,red,http://fruit.umext.umass.edu/images/2009apples/091509crimsoncrispnboroma.jpg,medium,"asymmetrical, somewhat oblong",194.0,September 1-15,somewhat conspicuous,middle,,good,9/15/2009,none,,0,,,,,slightly greasy,somewhat thick,11.3,4.6 (3.5-6),spreading,medium,20.1,2.9,85.0,11.3,fresh_standard,False,3,3
Creston,,Northboro,unknown,MA,fair,,medium,,30,blush-stripe,"some moldy core (that one 7 starch index), not fully ripe, but has high sugar compared to other apples at this time",absent,,medium,good,,18.4,sweet,green-white,medium melting,3.1,green,orange-red,,medium-large,symmetrical-oblong,258.0,September 16-30,inconspicuous,middle-late?,,good,9/15/2009,none,,< 5,stem,medium,,,dry,average,13.4,3.6 (2-7),upright,medium,18.4,3.1,30.0,13.4,fresh_standard,False,3,3
Grand Gala,,Northboro,unknown,MA,fair,,medium,,50,blush-stripe,"not really comparable to a typical Gala, would not plant too many",present,only 1 fruit at stem,medium-heavy,good,,18.6,sweet-tart,cream-yellow,medium melting,3.2,white-green,orange-red,http://fruit.umext.umass.edu/images/2009apples/091509grandgalanboroma.jpg,medium-large,irregular,276.0,September 1-15,somewhat conspicuous,early-middle,,fair-good,9/15/2009,nil,,< 5,stem,fine,,,slightly greasy,average,11,4 (2-5.5),upright-spreading,medium-strong,18.6,3.2,50.0,11.0,fresh_standard,False,3,2
Honeycrisp,,Northboro,half rate,MA,good,,medium-strong,,45,blush-stripe,a little bland in flavor compared to a real good Honeycrisp; have to manage crop load carefully to maximize Honeycrisp quality and flavor,absent,,medium-heavy,good,,14.9,sweet,green-white,crisp melting,3.3,green,red,http://fruit.umext.umass.edu/images/2009apples/091509honeycrispnboroma.jpg,large,somewhat irregular,253.0,September 1-15,inconspicuous,,,good,9/15/2009,few,,0,,,,,dry,average,10.5,6.9 (4.5-8),,medium,14.9,3.3,45.0,10.5,fresh_standard,True,5,3
Honeycrisp,,Warren,no,MA,,,,,65,blush-stripe,7 apples only,,,,very good,,14.3,,,,3.14,,,,,,,September 16-30,,,,,9/16/2009,,,,,,,,,,10.2,6.9,,,14.3,3.14,65.0,10.2,unknown,True,3,3
Buckeye Gala,,Belchertown,,MA,good,,medium-strong,,98,solid-stripe,"very dark red, full solid-colored Gala; size is lacking",absent,,medium-heavy,good,,18.8,sweet-tart,cream-white,hard (firm),2.9,white-yellow,red,,medium,somewhat typey,198.0,,conspicuous,middle,,good,9/16/2009,none,asst. NC-140,< 5,stem,fine,,,slightly greasy,average,11.5,4.8 (3.5-6.5),upright-spreading,medium-strong,18.8,2.9,98.0,11.5,fresh_standard,False,3,3
Honeycrisp,,Belchertown,no,MA,,,,,45,,"9 boxes from B3, B.9 rootstock; near the end of Honeycrisp harvest",,,,,,12.5,,,,3.2,,,http://fruit.umext.umass.edu/images/2009apples/honeycrisp091709ma.jpg,,,,September 16-30,,,,,9/17/2009,some,,,,,,,,,10.8,7,,,12.5,3.2,45.0,10.8,unknown,True,3,3
